id_uf,ano,gini_pib,gini_va_agro,gini_va_industria,gini_va_servicos,gini_va_adespss
14,2002,0.754187,0.32594,0.859175,0.868252,0.666031
27,2002,0.707149,0.545523,0.863561,0.839907,0.566092
25,2002,0.777902,0.523467,0.92872,0.866507,0.597854
24,2002,0.798872,0.558467,0.894844,0.87558,0.632014
33,2002,0.843051,0.511523,0.862669,0.869677,0.776645
35,2002,0.874623,0.529617,0.884676,0.907325,0.793521
23,2002,0.786772,0.424625,0.894928,0.875135,0.597792
42,2002,0.735821,0.420611,0.804981,0.804816,0.659889
16,2002,0.802527,0.326519,0.827082,0.873147,0.741765
52,2002,0.782629,0.642966,0.886168,0.84328,0.689695
32,2002,0.787016,0.485156,0.859239,0.813516,0.611728
12,2002,0.733505,0.403935,0.839545,0.869162,0.634486
11,2002,0.663476,0.329761,0.790535,0.781479,0.560424
43,2002,0.79058,0.480026,0.873256,0.853253,0.716547
50,2002,0.665083,0.509868,0.822283,0.77209,0.607693
17,2002,0.709031,0.489622,0.868443,0.816051,0.56299
21,2002,0.726878,0.440234,0.898132,0.847317,0.531072
31,2002,0.822643,0.592349,0.909916,0.863343,0.670851
13,2002,0.891846,0.606334,0.970171,0.93543,0.674001
41,2002,0.785731,0.447553,0.881889,0.845104,0.667398
51,2002,0.705199,0.640167,0.805886,0.793413,0.611992
15,2002,0.728359,0.493527,0.872753,0.848607,0.55956
29,2002,0.771418,0.598688,0.914095,0.855532,0.541535
28,2002,0.74629,0.470979,0.866162,0.842041,0.584016
22,2002,0.769564,0.476404,0.935639,0.879679,0.590492
26,2002,0.795667,0.496007,0.912906,0.871986,0.598709
22,2003,0.757789,0.518888,0.955225,0.884476,0.586216
31,2003,0.823687,0.592737,0.913906,0.862184,0.672205
32,2003,0.787974,0.473197,0.858605,0.811031,0.615348
15,2003,0.725016,0.488995,0.873611,0.846691,0.565408
24,2003,0.795312,0.5733,0.898712,0.878037,0.633349
14,2003,0.751256,0.345733,0.881024,0.872531,0.671533
35,2003,0.874447,0.525978,0.886244,0.906567,0.796177
52,2003,0.7781,0.633942,0.876123,0.843441,0.694515
12,2003,0.720977,0.386624,0.837409,0.867168,0.63518
27,2003,0.724757,0.566849,0.869598,0.846698,0.565753
21,2003,0.726222,0.47362,0.902194,0.854394,0.535184
50,2003,0.65591,0.519761,0.81303,0.768806,0.605388
23,2003,0.782014,0.411981,0.902645,0.875016,0.597849
25,2003,0.774334,0.537,0.927039,0.865599,0.603911
26,2003,0.791996,0.522027,0.914245,0.87241,0.600078
17,2003,0.689553,0.531982,0.854813,0.808819,0.570348
28,2003,0.731878,0.480504,0.866572,0.82852,0.582614
11,2003,0.642692,0.302293,0.768464,0.781836,0.555534
16,2003,0.7878,0.341009,0.789789,0.860776,0.742801
51,2003,0.706373,0.650864,0.814827,0.807167,0.613685
43,2003,0.772182,0.480525,0.878771,0.840697,0.719578
29,2003,0.777064,0.615177,0.925343,0.855525,0.544766
41,2003,0.7746,0.43301,0.885916,0.840764,0.670535
33,2003,0.838942,0.49848,0.856913,0.86662,0.776302
42,2003,0.73294,0.416676,0.808345,0.803165,0.663043
13,2003,0.898752,0.608396,0.972946,0.940625,0.671605
42,2004,0.742839,0.41909,0.812641,0.806679,0.666994
15,2004,0.73597,0.441069,0.867314,0.851109,0.568572
14,2004,0.745649,0.363216,0.871617,0.863597,0.672763
21,2004,0.733106,0.462804,0.912669,0.853742,0.53802
27,2004,0.731059,0.537427,0.868488,0.853716,0.568526
23,2004,0.792612,0.443578,0.904652,0.872732,0.599618
24,2004,0.79942,0.556746,0.902302,0.875206,0.634651
25,2004,0.770663,0.516528,0.91413,0.863017,0.60764
31,2004,0.826222,0.609468,0.915945,0.864404,0.677087
33,2004,0.839599,0.531713,0.855989,0.862108,0.775526
32,2004,0.798309,0.459023,0.868354,0.815247,0.61792
52,2004,0.78121,0.640128,0.876951,0.845032,0.703214
16,2004,0.795061,0.349713,0.807837,0.866714,0.742644
26,2004,0.797682,0.523733,0.912312,0.870784,0.600666
35,2004,0.877008,0.523459,0.88603,0.90619,0.797559
